source,target,weight
automatic gravity bed,spinal extension,1
adjustable crank arms,automatic gravity bed,1
lumbar rest,parallel-link motion,1
parallel-link motion,spinal extension,1
adjustable crank arms,parallel-link motion,1
lumbar rest,spinal extension,1
adjustable crank arms,lumbar rest,1
adjustable crank arms,spinal extension,1
emergency release,unlocking handle,1
door assembly,emergency release,1
emergency release,hinge mechanism,1
aircraft escape exit,emergency release,1
door assembly,unlocking handle,1
hinge mechanism,unlocking handle,1
aircraft escape exit,unlocking handle,1
door assembly,hinge mechanism,1
aircraft escape exit,door assembly,1
aircraft escape exit,hinge mechanism,1
circuit board clamping,press cutter mechanism,1
circuit board clamping,precision alignment,1
automated conveying,circuit board clamping,1
circuit board clamping,motor-driven wheels,1
precision alignment,press cutter mechanism,1
automated conveying,press cutter mechanism,1
motor-driven wheels,press cutter mechanism,1
automated conveying,precision alignment,1
motor-driven wheels,precision alignment,1
automated conveying,motor-driven wheels,1
orthogonal imaging planes,trajectory-based imaging,1
imaging plane determination,orthogonal imaging planes,1
orthogonal imaging planes,percutaneous intervention visualization,1
orthogonal imaging planes,reference coordinate system,1
early warning system,rare earth extraction,1
early warning system,pneumatic ball valve,1
early warning system,magnetic pump,1
PLC control,early warning system,1
pneumatic ball valve,rare earth extraction,1
magnetic pump,rare earth extraction,1
PLC control,rare earth extraction,1
magnetic pump,pneumatic ball valve,1
PLC control,pneumatic ball valve,1
PLC control,magnetic pump,1
electric spindle unit,integrated machining,1
integrated machining,multiple output heads,1
cutter efficiency,integrated machining,1
high-speed spindle,integrated machining,1
electric spindle unit,multiple output heads,1
cutter efficiency,electric spindle unit,1
electric spindle unit,high-speed spindle,1
cutter efficiency,multiple output heads,1
high-speed spindle,multiple output heads,1
cutter efficiency,high-speed spindle,1
automatic label placement,rubber roller,1
label guiding groove,rubber roller,1
edge curling device,rubber roller,1
rubber roller,seal labeling,1
automatic label placement,label guiding groove,1
automatic label placement,edge curling device,1
automatic label placement,seal labeling,1
edge curling device,label guiding groove,1
label guiding groove,seal labeling,1
edge curling device,seal labeling,1
CMOS image sensor,user experience improvement,1
distance identification,user experience improvement,1
automatic focus,user experience improvement,1
angle measurement,user experience improvement,1
CMOS image sensor,distance identification,1
CMOS image sensor,automatic focus,1
CMOS image sensor,angle measurement,1
automatic focus,distance identification,1
angle measurement,distance identification,1
angle measurement,automatic focus,1
thermal insulation antimagnetic,wireless radio-frequency,1
chip identification,thermal insulation antimagnetic,1
petroleum drilling tool,thermal insulation antimagnetic,1
remote data transmission,thermal insulation antimagnetic,1
chip identification,wireless radio-frequency,1
petroleum drilling tool,wireless radio-frequency,1
remote data transmission,wireless radio-frequency,1
chip identification,petroleum drilling tool,1
chip identification,remote data transmission,1
petroleum drilling tool,remote data transmission,1
clutch-brake system,rotational element coupling,1
planetary gear mechanism,rotational element coupling,1
friction reduction,rotational element coupling,1
high gear count transmission,rotational element coupling,1
clutch-brake system,friction reduction,1
clutch-brake system,high gear count transmission,1
high gear count transmission,planetary gear mechanism,1
friction reduction,high gear count transmission,1
friction drive reduction,multi-step threads,1
friction drive reduction,tension spring,1
friction drive reduction,load twisting force,1
automatic pressing,friction drive reduction,1
multi-step threads,tension spring,1
load twisting force,multi-step threads,1
automatic pressing,multi-step threads,1
load twisting force,tension spring,1
automatic pressing,tension spring,1
automatic pressing,load twisting force,1
light exposure test,sample illumination,1
sample illumination,thermal stability,1
sample illumination,yellowing resistance,1
concentric circle arrangement,sample illumination,1
light exposure test,thermal stability,1
light exposure test,yellowing resistance,1
concentric circle arrangement,light exposure test,1
thermal stability,yellowing resistance,1
concentric circle arrangement,thermal stability,1
concentric circle arrangement,yellowing resistance,1
automated navigation,precision landing,1
aircraft identification,precision landing,1
laser beam technology,precision landing,1
docking guidance,precision landing,1
aircraft identification,automated navigation,1
automated navigation,laser beam technology,1
automated navigation,docking guidance,1
aircraft identification,laser beam technology,1
aircraft identification,docking guidance,1
docking guidance,laser beam technology,1
planetary wheel,speed reduction,1
compression ring,planetary wheel,1
load torque adjustment,planetary wheel,1
friction drive,planetary wheel,1
compression ring,speed reduction,1
load torque adjustment,speed reduction,1
friction drive,speed reduction,1
compression ring,load torque adjustment,1
compression ring,friction drive,1
friction drive,load torque adjustment,1
CAM system,automatic toolpath,1
CAM system,web surface processing,1
CAM system,milling path generation,1
CAM system,batch processing,1
automatic toolpath,web surface processing,1
automatic toolpath,milling path generation,1
automatic toolpath,batch processing,1
milling path generation,web surface processing,1
batch processing,web surface processing,1
batch processing,milling path generation,1
high directivity,horn antenna elements,1
high directivity,optimized geometry,1
high directivity,lens antenna,1
electronic beam steering,high directivity,1
horn antenna elements,optimized geometry,1
horn antenna elements,lens antenna,1
electronic beam steering,horn antenna elements,1
lens antenna,optimized geometry,1
electronic beam steering,optimized geometry,1
electronic beam steering,lens antenna,1
UAV flight path,virtual coordinate system,1
UAV flight path,parametric geometry,1
UAV flight path,payload activity scheduling,1
3D GUI,UAV flight path,1
parametric geometry,virtual coordinate system,1
payload activity scheduling,virtual coordinate system,1
3D GUI,virtual coordinate system,1
parametric geometry,payload activity scheduling,1
3D GUI,parametric geometry,1
3D GUI,payload activity scheduling,1
adaptive intensity,planet gear massage,1
adaptive intensity,tenosynovitis self-cure,1
adaptive intensity,portable device,1
adaptive intensity,vibration therapy,1
planet gear massage,tenosynovitis self-cure,1
planet gear massage,portable device,1
planet gear massage,vibration therapy,1
portable device,tenosynovitis self-cure,1
tenosynovitis self-cure,vibration therapy,1
portable device,vibration therapy,1
automatic gear shift,selective engagement,1
automatic gear shift,planetary transmission,1
automatic gear shift,multiple forward gears,1
automatic gear shift,shifting elements,1
planetary transmission,selective engagement,1
multiple forward gears,selective engagement,1
selective engagement,shifting elements,1
multiple forward gears,planetary transmission,1
planetary transmission,shifting elements,1
multiple forward gears,shifting elements,1
real-time data,remote monitoring,1
projectile telemetry,real-time data,1
electronic tracking,real-time data,1
ordnance deployment,real-time data,1
projectile telemetry,remote monitoring,1
electronic tracking,remote monitoring,1
ordnance deployment,remote monitoring,1
electronic tracking,projectile telemetry,1
ordnance deployment,projectile telemetry,1
electronic tracking,ordnance deployment,1
attachment assembly,combustion temperature,1
combustion temperature,miniature torpedo,1
combustion temperature,flammable elements,1
combustion temperature,unmanned aerial vehicle,1
attachment assembly,miniature torpedo,1
attachment assembly,flammable elements,1
attachment assembly,unmanned aerial vehicle,1
flammable elements,miniature torpedo,1
miniature torpedo,unmanned aerial vehicle,1
flammable elements,unmanned aerial vehicle,1
interconnected carriers,multi-gear transmission,1
clutch-brake system,multi-gear transmission,1
automatic shifting,multi-gear transmission,1
multi-gear transmission,planetary gear mechanism,1
clutch-brake system,interconnected carriers,1
automatic shifting,interconnected carriers,1
interconnected carriers,planetary gear mechanism,2
automatic shifting,clutch-brake system,1
automatic shifting,planetary gear mechanism,1
interconnected gears,multi-speed transmission,1
clutch brake system,interconnected gears,1
interconnected gears,planetary gear mechanism,1
automatic shift capability,interconnected gears,1
clutch brake system,multi-speed transmission,1
multi-speed transmission,planetary gear mechanism,2
automatic shift capability,multi-speed transmission,1
automatic shift capability,clutch brake system,1
automatic shift capability,planetary gear mechanism,1
phase modulation,sync detection,1
harmonic filtering,phase modulation,1
aircraft navigation,phase modulation,1
automatic landing,phase modulation,1
harmonic filtering,sync detection,1
aircraft navigation,sync detection,1
automatic landing,sync detection,1
aircraft navigation,harmonic filtering,1
automatic landing,harmonic filtering,1
aircraft navigation,automatic landing,1
autonomous emergency light,multi-state operation,1
control logic,multi-state operation,1
capacitor storage,multi-state operation,1
LED illumination,multi-state operation,1
autonomous emergency light,control logic,1
autonomous emergency light,capacitor storage,1
LED illumination,autonomous emergency light,1
capacitor storage,control logic,1
LED illumination,control logic,1
LED illumination,capacitor storage,1
electronic control,sensor integration,1
hydraulic retarder,sensor integration,1
planetary gear train,sensor integration,1
hydraulic automatic transmission,sensor integration,1
electronic control,hydraulic retarder,1
electronic control,planetary gear train,1
electronic control,hydraulic automatic transmission,1
hydraulic retarder,planetary gear train,1
hydraulic automatic transmission,hydraulic retarder,1
hydraulic automatic transmission,planetary gear train,1
low-altitude scouting,optical channel design,1
low-altitude scouting,shadow elimination,1
automatic light supplementing,low-altitude scouting,1
low-altitude scouting,transparent aircraft,1
optical channel design,shadow elimination,1
automatic light supplementing,optical channel design,1
optical channel design,transparent aircraft,1
automatic light supplementing,shadow elimination,1
shadow elimination,transparent aircraft,1
automatic light supplementing,transparent aircraft,1
brake release,transmission efficiency,1
brake release,connection element,1
brake release,planetary gear mechanism,1
brake release,clutch engagement,1
connection element,transmission efficiency,2
clutch engagement,transmission efficiency,1
connection element,planetary gear mechanism,2
clutch engagement,connection element,1
clutch brake system,transmission efficiency,1
multi-gear position,transmission efficiency,1
clutch brake system,connection element,1
connection element,multi-gear position,1
clutch brake system,multi-gear position,1
multi-gear position,planetary gear mechanism,1
automatic positioning,roll ring centering,1
automatic positioning,double-roll crusher,1
automatic positioning,expanding positioning ring,1
automatic positioning,conical surface mating,1
double-roll crusher,roll ring centering,1
expanding positioning ring,roll ring centering,1
conical surface mating,roll ring centering,1
double-roll crusher,expanding positioning ring,1
conical surface mating,double-roll crusher,1
conical surface mating,expanding positioning ring,1
micro-tension loop,tension-free rolling,1
rotating wheels,tension-free rolling,1
cold-rolling mills,tension-free rolling,1
speed adjustment,tension-free rolling,1
micro-tension loop,rotating wheels,1
cold-rolling mills,micro-tension loop,1
micro-tension loop,speed adjustment,1
cold-rolling mills,rotating wheels,1
rotating wheels,speed adjustment,1
cold-rolling mills,speed adjustment,1
automation,error compensation,1
UAV image correction,error compensation,1
error compensation,remote sensing,1
error compensation,geometric distortion,1
UAV image correction,automation,1
automation,remote sensing,1
automation,geometric distortion,1
UAV image correction,remote sensing,1
UAV image correction,geometric distortion,1
geometric distortion,remote sensing,1
eigenvalue decomposition,oblique projection,1
alternating iterative algorithm,eigenvalue decomposition,1
eigenvalue decomposition,signal direction estimation,1
eigenvalue decomposition,incoherent-coherent separation,1
alternating iterative algorithm,oblique projection,1
oblique projection,signal direction estimation,1
incoherent-coherent separation,oblique projection,1
alternating iterative algorithm,signal direction estimation,1
alternating iterative algorithm,incoherent-coherent separation,1
incoherent-coherent separation,signal direction estimation,1
guide track connector,partition plate forming,1
battery polar plate,guide track connector,1
gradual pushing conveyance,guide track connector,1
double-axis cylinder,guide track connector,1
battery polar plate,partition plate forming,1
gradual pushing conveyance,partition plate forming,1
double-axis cylinder,partition plate forming,1
battery polar plate,gradual pushing conveyance,1
battery polar plate,double-axis cylinder,1
double-axis cylinder,gradual pushing conveyance,1
flexible replacement,labor-saving design,1
flexible replacement,isosceles-trapezoid screen,1
adjustable angle,flexible replacement,1
flexible replacement,grinding ball separator,1
isosceles-trapezoid screen,labor-saving design,1
adjustable angle,labor-saving design,1
grinding ball separator,labor-saving design,1
adjustable angle,isosceles-trapezoid screen,1
grinding ball separator,isosceles-trapezoid screen,1
adjustable angle,grinding ball separator,1
circular hair drier,slingshot power line,1
heating wire placement,slingshot power line,1
base cavity,slingshot power line,1
semicircular ring design,slingshot power line,1
circular hair drier,heating wire placement,1
base cavity,circular hair drier,1
circular hair drier,semicircular ring design,1
base cavity,heating wire placement,1
heating wire placement,semicircular ring design,1
base cavity,semicircular ring design,1
autonomous nacelle,rigid carcass,1
autonomous nacelle,electric screen,1
autonomous nacelle,ionised gas,1
autonomous nacelle,circular wing,1
electric screen,rigid carcass,1
ionised gas,rigid carcass,1
circular wing,rigid carcass,1
electric screen,ionised gas,1
circular wing,electric screen,1
circular wing,ionised gas,1
hydraulic tensile machine,tension sensor,1
automated positioning,hydraulic tensile machine,1
hydraulic tensile machine,insulator chain testing,1
hydraulic tensile machine,mechanical tolerance monitoring,1
automated positioning,tension sensor,1
insulator chain testing,tension sensor,1
mechanical tolerance monitoring,tension sensor,1
automated positioning,insulator chain testing,1
automated positioning,mechanical tolerance monitoring,1
insulator chain testing,mechanical tolerance monitoring,1
carbon fiber grating,environmental safety,1
electric heating layer,environmental safety,1
airport de-icing,environmental safety,1
efficient heat utilization,environmental safety,1
carbon fiber grating,electric heating layer,1
airport de-icing,carbon fiber grating,1
carbon fiber grating,efficient heat utilization,1
airport de-icing,electric heating layer,1
efficient heat utilization,electric heating layer,1
airport de-icing,efficient heat utilization,1
automatic positioning,pure rolling friction,1
curved face transition,pure rolling friction,1
barrel structure,pure rolling friction,1
pure rolling friction,spatial misalignment,1
automatic positioning,curved face transition,1
automatic positioning,barrel structure,1
automatic positioning,spatial misalignment,1
barrel structure,curved face transition,1
curved face transition,spatial misalignment,1
barrel structure,spatial misalignment,1
acute inclined angle,gravity separation,1
gravity separation,yield improvement,1
gravity separation,roller arrangement,1
gravity separation,nut grading,1
acute inclined angle,yield improvement,1
acute inclined angle,roller arrangement,1
acute inclined angle,nut grading,1
roller arrangement,yield improvement,1
nut grading,yield improvement,1
nut grading,roller arrangement,1
Z-shaped nozzle swing,aluminum alloy plate,1
Z-shaped nozzle swing,consumable electrode,1
Z-shaped nozzle swing,stainless steel gasket,1
Z-shaped nozzle swing,backing welding,1
aluminum alloy plate,consumable electrode,1
aluminum alloy plate,stainless steel gasket,1
aluminum alloy plate,backing welding,1
consumable electrode,stainless steel gasket,1
backing welding,consumable electrode,1
backing welding,stainless steel gasket,1
hybrid power,stealth capability,1
electromotor engine integration,hybrid power,1
hybrid power,unmanned aerial vehicle,1
hybrid power,noise reduction,1
electromotor engine integration,stealth capability,1
stealth capability,unmanned aerial vehicle,1
noise reduction,stealth capability,1
electromotor engine integration,unmanned aerial vehicle,1
electromotor engine integration,noise reduction,1
noise reduction,unmanned aerial vehicle,1
auxiliary navigation,image storage,1
auxiliary navigation,unmanned aerial vehicle,1
auxiliary navigation,low-power recognition,1
auxiliary navigation,mobile chip processor,1
image storage,unmanned aerial vehicle,1
image storage,low-power recognition,1
image storage,mobile chip processor,1
low-power recognition,unmanned aerial vehicle,1
mobile chip processor,unmanned aerial vehicle,1
low-power recognition,mobile chip processor,1
automatic feeding,inclined panel,1
automatic feeding,motor shaft safety,1
automatic feeding,ejection mechanism,1
automatic feeding,lathe guide plate,1
inclined panel,motor shaft safety,1
ejection mechanism,inclined panel,1
inclined panel,lathe guide plate,1
ejection mechanism,motor shaft safety,1
lathe guide plate,motor shaft safety,1
ejection mechanism,lathe guide plate,1
motor current resistance,tap gauge rotation,1
automatic inspection,motor current resistance,1
cost reduction,motor current resistance,1
motor current resistance,precision manufacturing,1
automatic inspection,tap gauge rotation,1
cost reduction,tap gauge rotation,1
precision manufacturing,tap gauge rotation,1
automatic inspection,cost reduction,1
automatic inspection,precision manufacturing,1
cost reduction,precision manufacturing,1
automatic image computation,cross-sectional imaging,1
automatic image computation,computed tomography,1
automatic image computation,position adaptation,1
automatic image computation,radiation source rotation,1
computed tomography,cross-sectional imaging,1
cross-sectional imaging,position adaptation,1
cross-sectional imaging,radiation source rotation,1
computed tomography,position adaptation,1
computed tomography,radiation source rotation,1
position adaptation,radiation source rotation,1
direct-current power,leakage protection,1
leakage protection,radiation prevention,1
conductive shielding,leakage protection,1
leakage protection,parallel bending core wire,1
direct-current power,radiation prevention,1
conductive shielding,direct-current power,1
direct-current power,parallel bending core wire,1
conductive shielding,radiation prevention,1
parallel bending core wire,radiation prevention,1
conductive shielding,parallel bending core wire,1
distance meter,laser leveling,1
coordinate transfer,laser leveling,1
laser leveling,virtual floor plan,1
active target,laser leveling,1
coordinate transfer,distance meter,1
distance meter,virtual floor plan,1
active target,distance meter,1
coordinate transfer,virtual floor plan,1
active target,coordinate transfer,1
active target,virtual floor plan,1
closed-loop control,error correction,1
error correction,human-machine interface,1
error correction,hydraulic pile breaker,1
error correction,multi-point extrusion,1
closed-loop control,human-machine interface,1
closed-loop control,hydraulic pile breaker,1
closed-loop control,multi-point extrusion,1
human-machine interface,hydraulic pile breaker,1
human-machine interface,multi-point extrusion,1
hydraulic pile breaker,multi-point extrusion,1
PCB correction,laser fettling,1
PCB correction,automatic circuit repair,1
PCB correction,pulse laser control,1
PCB correction,scanning device,1
automatic circuit repair,laser fettling,1
laser fettling,pulse laser control,1
laser fettling,scanning device,1
automatic circuit repair,pulse laser control,1
automatic circuit repair,scanning device,1
pulse laser control,scanning device,1
trace evidence photography,transparent scale,1
frame shape design,trace evidence photography,1
perspective correction,trace evidence photography,1
automatic identification standard,trace evidence photography,1
frame shape design,transparent scale,1
perspective correction,transparent scale,1
automatic identification standard,transparent scale,1
frame shape design,perspective correction,1
automatic identification standard,frame shape design,1
automatic identification standard,perspective correction,1
V-shaped driving head,photosensitive drum,1
V-shaped driving head,automatic bounce mechanism,1
V-shaped driving head,gear main body,1
V-shaped driving head,environmental protection design,1
automatic bounce mechanism,photosensitive drum,1
gear main body,photosensitive drum,1
environmental protection design,photosensitive drum,1
automatic bounce mechanism,gear main body,1
automatic bounce mechanism,environmental protection design,1
environmental protection design,gear main body,1
absorption plate,electric connector,1
absorption plate,metal housing,1
absorption plate,automatic equipment,1
absorption plate,conductive terminal,1
electric connector,metal housing,1
automatic equipment,electric connector,1
conductive terminal,electric connector,1
automatic equipment,metal housing,1
conductive terminal,metal housing,1
automatic equipment,conductive terminal,1
electronic map integration,vehicle pedestrian detection,1
electronic map integration,real-time image analysis,1
dynamic traffic signal management,electronic map integration,1
UAV traffic monitoring,electronic map integration,1
real-time image analysis,vehicle pedestrian detection,1
dynamic traffic signal management,vehicle pedestrian detection,1
UAV traffic monitoring,vehicle pedestrian detection,1
dynamic traffic signal management,real-time image analysis,1
UAV traffic monitoring,real-time image analysis,1
UAV traffic monitoring,dynamic traffic signal management,1
electric vehicle charging,height-differentiated distribution,1
height-differentiated distribution,metal contact cores,1
ferromagnetic plate,height-differentiated distribution,1
automated plug connection,height-differentiated distribution,1
electric vehicle charging,metal contact cores,1
electric vehicle charging,ferromagnetic plate,1
automated plug connection,electric vehicle charging,1
ferromagnetic plate,metal contact cores,1
automated plug connection,metal contact cores,1
automated plug connection,ferromagnetic plate,1
high-rise delivery,navigation radar,1
computer control,navigation radar,1
navigation radar,wireless antenna,1
navigation radar,unmanned plane,1
computer control,high-rise delivery,1
high-rise delivery,wireless antenna,1
high-rise delivery,unmanned plane,1
computer control,wireless antenna,1
computer control,unmanned plane,1
unmanned plane,wireless antenna,1
adhesive tape cutter,automatic retraction,1
automatic retraction,fixed-scale cutting,1
automatic retraction,flexible ruler,1
automatic retraction,idler wheel,1
adhesive tape cutter,fixed-scale cutting,1
adhesive tape cutter,flexible ruler,1
adhesive tape cutter,idler wheel,1
fixed-scale cutting,flexible ruler,1
fixed-scale cutting,idler wheel,1
flexible ruler,idler wheel,1
desilting mechanism,oil flow protector,1
oil flow protector,piston-driven control,1
flushing fluid inlet,oil flow protector,1
Y-shaped sealing,oil flow protector,1
desilting mechanism,piston-driven control,1
desilting mechanism,flushing fluid inlet,1
Y-shaped sealing,desilting mechanism,1
flushing fluid inlet,piston-driven control,1
Y-shaped sealing,piston-driven control,1
Y-shaped sealing,flushing fluid inlet,1
automatic leveling,energy accumulator,1
aircraft tractor,energy accumulator,1
energy accumulator,hydraulic cylinder,1
energy accumulator,position sensor,1
aircraft tractor,automatic leveling,1
automatic leveling,hydraulic cylinder,1
automatic leveling,position sensor,1
aircraft tractor,hydraulic cylinder,1
aircraft tractor,position sensor,1
hydraulic cylinder,position sensor,1
electric hot plate,idler wheels,1
idler wheels,stirring comb,1
idler wheels,resin grinding wheel,1
automatic material spreading,idler wheels,1
electric hot plate,stirring comb,1
electric hot plate,resin grinding wheel,1
automatic material spreading,electric hot plate,1
resin grinding wheel,stirring comb,1
automatic material spreading,stirring comb,1
automatic material spreading,resin grinding wheel,1
audio video collection,emergency command,1
audio video collection,unmanned aerial vehicle,1
audio video collection,vehicle-mounted control,1
audio video collection,image transmission,1
emergency command,unmanned aerial vehicle,1
emergency command,vehicle-mounted control,1
emergency command,image transmission,1
unmanned aerial vehicle,vehicle-mounted control,1
image transmission,unmanned aerial vehicle,1
image transmission,vehicle-mounted control,1
photodetector system,reaction vessel design,1
angled light source,photodetector system,1
photodetector system,scattered-light detection,1
photodetector system,reagent cost reduction,1
angled light source,reaction vessel design,1
reaction vessel design,scattered-light detection,1
reaction vessel design,reagent cost reduction,1
angled light source,scattered-light detection,1
angled light source,reagent cost reduction,1
reagent cost reduction,scattered-light detection,1
magnetic attachment,multi-functional hinge,1
automatic locating hinge,magnetic attachment,1
elastic connecting piece,magnetic attachment,1
magnetic attachment,rotary shaft assembly,1
automatic locating hinge,multi-functional hinge,1
elastic connecting piece,multi-functional hinge,1
multi-functional hinge,rotary shaft assembly,1
automatic locating hinge,elastic connecting piece,1
automatic locating hinge,rotary shaft assembly,1
elastic connecting piece,rotary shaft assembly,1
compact design,photogrammetry,1
compact design,sensor stabilization,1
compact design,unmanned aerial vehicle,1
compact design,triaxial orthographic nacelle,1
photogrammetry,sensor stabilization,1
photogrammetry,unmanned aerial vehicle,1
photogrammetry,triaxial orthographic nacelle,1
sensor stabilization,unmanned aerial vehicle,1
sensor stabilization,triaxial orthographic nacelle,1
triaxial orthographic nacelle,unmanned aerial vehicle,1
lifting mechanism,rotor guide rail,1
inclined plane slide,rotor guide rail,1
rotor guide rail,sequential station transfer,1
automatic feeder,rotor guide rail,1
inclined plane slide,lifting mechanism,1
lifting mechanism,sequential station transfer,1
automatic feeder,lifting mechanism,1
inclined plane slide,sequential station transfer,1
automatic feeder,inclined plane slide,1
automatic feeder,sequential station transfer,1
air circulation,circuit board,1
circuit board,heat radiation,1
circuit board,radiating fin,1
circuit board,unmanned plane,1
air circulation,heat radiation,1
air circulation,radiating fin,1
air circulation,unmanned plane,1
heat radiation,radiating fin,1
heat radiation,unmanned plane,1
radiating fin,unmanned plane,1
balance center,bearing assembly,1
bearing assembly,rotating shafts,1
bearing assembly,field intensity probe,1
bearing assembly,self-adaptation fixing,1
balance center,rotating shafts,1
balance center,field intensity probe,1
balance center,self-adaptation fixing,1
field intensity probe,rotating shafts,1
rotating shafts,self-adaptation fixing,1
field intensity probe,self-adaptation fixing,1
panoramic imaging,rotational symmetry,1
panoramic imaging,rectilinear correction,1
image processing algorithm,panoramic imaging,1
panoramic imaging,wide-angle lens,1
rectilinear correction,rotational symmetry,1
image processing algorithm,rotational symmetry,1
rotational symmetry,wide-angle lens,1
image processing algorithm,rectilinear correction,1
rectilinear correction,wide-angle lens,1
image processing algorithm,wide-angle lens,1
movable rim,surface alignment,1
automatic retraction,surface alignment,1
load biasing,surface alignment,1
placement tray,surface alignment,1
automatic retraction,movable rim,1
load biasing,movable rim,1
movable rim,placement tray,1
automatic retraction,load biasing,1
automatic retraction,placement tray,1
load biasing,placement tray,1
planar parallel constraint,universal joint mechanism,1
blade control,universal joint mechanism,1
fatigue load reduction,universal joint mechanism,1
active shimmying,universal joint mechanism,1
blade control,planar parallel constraint,1
fatigue load reduction,planar parallel constraint,1
active shimmying,planar parallel constraint,1
blade control,fatigue load reduction,1
active shimmying,blade control,1
active shimmying,fatigue load reduction,1
disc-shaped aircraft,jet propulsion,1
jet propulsion,vertical take-off,1
high-speed shell rotation,jet propulsion,1
jet propulsion,maneuverability enhancement,1
disc-shaped aircraft,vertical take-off,1
disc-shaped aircraft,high-speed shell rotation,1
disc-shaped aircraft,maneuverability enhancement,1
high-speed shell rotation,vertical take-off,1
maneuverability enhancement,vertical take-off,1
high-speed shell rotation,maneuverability enhancement,1
gear coupling,transmission accuracy,1
floating table,transmission accuracy,2
transmission accuracy,vacuum seal pot,1
automatic speed regulation,transmission accuracy,2
floating table,gear coupling,1
gear coupling,vacuum seal pot,1
automatic speed regulation,gear coupling,1
floating table,vacuum seal pot,1
automatic speed regulation,floating table,2
automatic speed regulation,vacuum seal pot,1
automatic transporting,processing grooves,1
automatic transporting,lifting appliance,1
automatic transporting,idle station,1
automatic transporting,program control crane,1
lifting appliance,processing grooves,1
idle station,processing grooves,1
processing grooves,program control crane,1
idle station,lifting appliance,1
lifting appliance,program control crane,1
idle station,program control crane,1
check block,unhooking device,1
automatic duck processing,unhooking device,1
inclined plane,unhooking device,1
suspension mechanism,unhooking device,1
automatic duck processing,check block,1
check block,inclined plane,1
check block,suspension mechanism,1
automatic duck processing,inclined plane,1
automatic duck processing,suspension mechanism,1
inclined plane,suspension mechanism,1
angle of attack,stall detection,1
real-time airspeed,stall detection,1
flight control surface,stall detection,1
sideslip angle,stall detection,1
angle of attack,real-time airspeed,1
angle of attack,flight control surface,1
angle of attack,sideslip angle,1
flight control surface,real-time airspeed,1
real-time airspeed,sideslip angle,1
flight control surface,sideslip angle,1
reduced time,spiral needle,1
automatic suturing,reduced time,1
minimized scarring,reduced time,1
continuous loops,reduced time,1
automatic suturing,spiral needle,1
minimized scarring,spiral needle,1
continuous loops,spiral needle,1
automatic suturing,minimized scarring,1
automatic suturing,continuous loops,1
continuous loops,minimized scarring,1
UAV navigation,power line inspection,1
positioning processor,power line inspection,1
enhanced safety,power line inspection,1
compass satellite,power line inspection,1
UAV navigation,positioning processor,1
UAV navigation,enhanced safety,1
UAV navigation,compass satellite,1
enhanced safety,positioning processor,1
compass satellite,positioning processor,1
compass satellite,enhanced safety,1
embedded device,pin alignment,1
VGA interface,pin alignment,1
circuit board integration,pin alignment,1
automatic production,pin alignment,1
VGA interface,embedded device,1
circuit board integration,embedded device,1
automatic production,embedded device,1
VGA interface,circuit board integration,1
VGA interface,automatic production,1
automatic production,circuit board integration,1
adaptive neural network,feedback control,1
adaptive neural network,disturbance estimation,1
adaptive neural network,unmanned rotary-wing aircraft,1
adaptive neural network,threshold optimization,1
disturbance estimation,feedback control,1
feedback control,unmanned rotary-wing aircraft,1
feedback control,threshold optimization,1
disturbance estimation,unmanned rotary-wing aircraft,1
disturbance estimation,threshold optimization,1
threshold optimization,unmanned rotary-wing aircraft,1
self-lubrication,thrust bearing bush,1
modified polytef,self-lubrication,1
self-lubrication,water turbine,1
metal wire cushion,self-lubrication,1
modified polytef,thrust bearing bush,1
thrust bearing bush,water turbine,1
metal wire cushion,thrust bearing bush,1
modified polytef,water turbine,1
metal wire cushion,modified polytef,1
metal wire cushion,water turbine,1
equalizing pipeline,motor load reduction,1
motor load reduction,water ring vacuum,1
automatic overflow,motor load reduction,1
motor load reduction,steam-water separator,1
equalizing pipeline,water ring vacuum,1
automatic overflow,equalizing pipeline,1
equalizing pipeline,steam-water separator,1
automatic overflow,water ring vacuum,1
steam-water separator,water ring vacuum,1
automatic overflow,steam-water separator,1
internal climbing crane,power cylinder,1
power cylinder,safety mechanism,1
automatic lifting,power cylinder,1
beam arrangement,power cylinder,1
internal climbing crane,safety mechanism,1
automatic lifting,internal climbing crane,1
beam arrangement,internal climbing crane,1
automatic lifting,safety mechanism,1
beam arrangement,safety mechanism,1
automatic lifting,beam arrangement,1
hub spindle motor,seamless steel tube,1
inner bore polishing,seamless steel tube,1
automatic turnover,seamless steel tube,1
moving trolley,seamless steel tube,1
hub spindle motor,inner bore polishing,1
automatic turnover,hub spindle motor,1
hub spindle motor,moving trolley,1
automatic turnover,inner bore polishing,1
inner bore polishing,moving trolley,1
automatic turnover,moving trolley,1
automatic positioning,hole position machining,1
Z-axis feeding,hole position machining,1
Y-axis feeding,hole position machining,1
hole position machining,perpendicular cutter,1
Z-axis feeding,automatic positioning,1
Y-axis feeding,automatic positioning,1
automatic positioning,perpendicular cutter,1
Y-axis feeding,Z-axis feeding,1
Z-axis feeding,perpendicular cutter,1
Y-axis feeding,perpendicular cutter,1
image stitching,rotation alignment,1
geometric correction,image stitching,1
image stitching,pathology imaging,1
image stitching,similarity analysis,1
geometric correction,rotation alignment,1
pathology imaging,rotation alignment,1
rotation alignment,similarity analysis,1
geometric correction,pathology imaging,1
geometric correction,similarity analysis,1
